id,person_id,trip_n,travel_date,travel_date_dow,o_purpose_category,d_purpose_category,num_non_hh_travelers,num_hh_travelers,num_travelers,o_location_type,d_location_type,o_congestion,d_congestion,age,employment,student,license,planning_apps,industry,gender,education,survey_language,num_bicycles,num_vehicles,res_type,rent_own,income_aggregate,num_people,num_adults,num_kids,num_workers,num_students,disability,trip_distance,mode
0,0,0,30/05/2019,4,-9998,2,0,1,1,4,2,1,0,6,1,0,1,1,1,1,6,English,1,2,1,2,4,5,3,2,1,2,none,13.4,subway
1,0,1,01/06/2019,6,-9998,1,0,1,1,2,1,0,0,6,1,0,1,1,1,1,6,English,1,2,1,2,4,5,3,2,1,2,none,3.7,drive
2,0,2,02/06/2019,7,-9998,7,1,2,3,4,4,0,0,6,1,0,1,1,1,1,6,English,1,2,1,2,4,5,3,2,1,2,none,9.8,drive
3,0,3,02/06/2019,7,7,7,1,2,3,4,4,0,0,6,1,0,1,1,1,1,6,English,1,2,1,2,4,5,3,2,1,2,none,11.1,drive
4,0,4,03/06/2019,1,-9998,7,0,1,1,4,4,0,0,6,1,0,1,1,1,1,6,English,1,2,1,2,4,5,3,2,1,2,none,2.5,drive
5,0,5,03/06/2019,1,7,7,0,1,1,4,4,0,0,6,1,0,1,1,1,1,6,English,1,2,1,2,4,5,3,2,1,2,none,3.2,drive
6,0,6,03/06/2019,1,7,6,0,1,1,4,4,0,0,6,1,0,1,1,1,1,6,English,1,2,1,2,4,5,3,2,1,2,none,0.7,walk
7,0,7,04/06/2019,2,6,7,1,2,3,4,4,0,0,6,1,0,1,1,1,1,6,English,1,2,1,2,4,5,3,2,1,2,none,0.7,passenger
8,0,8,05/06/2019,3,7,7,0,1,1,4,4,0,0,6,1,0,1,1,1,1,6,English,1,2,1,2,4,5,3,2,1,2,none,2.2,drive
9,0,9,05/06/2019,3,7,7,0,1,1,4,4,0,0,6,1,0,1,1,1,1,6,English,1,2,1,2,4,5,3,2,1,2,none,3.2,drive
10,0,10,05/06/2019,3,7,6,0,1,1,4,4,0,0,6,1,0,1,1,1,1,6,English,1,2,1,2,4,5,3,2,1,2,none,0.8,walk
11,0,11,05/06/2019,3,6,5,2,2,4,4,4,0,0,6,1,0,1,1,1,1,6,English,1,2,1,2,4,5,3,2,1,2,none,3.3,drive
12,1,0,10/06/2019,1,1,2,0,1,1,1,4,0,0,5,1,0,1,4,1,1,7,English,0,0,5,2,3,1,1,0,1,0,none,13.2,subway
13,1,1,10/06/2019,1,2,6,0,1,1,4,4,0,1,5,1,0,1,4,1,1,7,English,0,0,5,2,3,1,1,0,1,0,none,2.4,subway
14,1,2,10/06/2019,1,6,6,0,1,1,4,4,1,1,5,1,0,1,4,1,1,7,English,0,0,5,2,3,1,1,0,1,0,none,0.2,walk
15,1,3,11/06/2019,2,6,9,0,1,1,4,4,1,0,5,1,0,1,4,1,1,7,English,0,0,5,2,3,1,1,0,1,0,none,9.6,subway
16,1,4,11/06/2019,2,2,6,0,1,1,4,4,0,1,5,1,0,1,4,1,1,7,English,0,0,5,2,3,1,1,0,1,0,none,2.6,subway
17,1,5,11/06/2019,2,6,10,0,1,1,4,4,1,1,5,1,0,1,4,1,1,7,English,0,0,5,2,3,1,1,0,1,0,none,0.5,walk
18,1,6,12/06/2019,3,2,1,0,1,1,2,1,0,0,5,1,0,1,4,1,1,7,English,0,0,5,2,3,1,1,0,1,0,none,12.9,subway
19,1,7,13/06/2019,4,1,8,0,1,1,1,4,0,0,5,1,0,1,4,1,1,7,English,0,0,5,2,3,1,1,0,1,0,none,2.2,walk
20,1,8,13/06/2019,4,8,1,0,1,1,4,1,0,0,5,1,0,1,4,1,1,7,English,0,0,5,2,3,1,1,0,1,0,none,0.5,walk
21,1,9,13/06/2019,4,1,10,0,1,1,1,4,0,0,5,1,0,1,4,1,1,7,English,0,0,5,2,3,1,1,0,1,0,none,1,walk
22,1,10,13/06/2019,4,4,10,0,1,1,4,4,1,1,5,1,0,1,4,1,1,7,English,0,0,5,2,3,1,1,0,1,0,none,0.2,walk
23,1,11,14/06/2019,5,1,2,0,1,1,1,2,0,0,5,1,0,1,4,1,1,7,English,0,0,5,2,3,1,1,0,1,0,none,13.4,subway
24,1,12,14/06/2019,5,2,8,0,1,1,4,4,1,0,5,1,0,1,4,1,1,7,English,0,0,5,2,3,1,1,0,1,0,none,15.2,bus
25,1,13,14/06/2019,5,8,7,1,1,2,4,4,0,0,5,1,0,1,4,1,1,7,English,0,0,5,2,3,1,1,0,1,0,none,3.9,passenger
26,1,14,14/06/2019,5,7,1,1,1,2,4,1,0,0,5,1,0,1,4,1,1,7,English,0,0,5,2,3,1,1,0,1,0,none,5.5,passenger
27,1,15,15/06/2019,6,1,6,0,1,1,1,4,0,0,5,1,0,1,4,1,1,7,English,0,0,5,2,3,1,1,0,1,0,none,0.5,walk
28,1,16,15/06/2019,6,6,1,0,1,1,4,1,0,0,5,1,0,1,4,1,1,7,English,0,0,5,2,3,1,1,0,1,0,none,0.5,walk
29,1,17,15/06/2019,6,1,10,0,1,1,1,4,0,0,5,1,0,1,4,1,1,7,English,0,0,5,2,3,1,1,0,1,0,none,1,walk
30,2,0,07/06/2019,5,1,6,0,1,1,1,4,0,0,5,2,0,1,8,8,1,3,English,0,2,3,1,1,2,2,0,1,0,none,1.7,drive
31,2,1,07/06/2019,5,6,1,0,1,1,4,1,0,0,5,2,0,1,8,8,1,3,English,0,2,3,1,1,2,2,0,1,0,none,1.4,drive
32,2,2,07/06/2019,5,1,9,0,1,1,1,4,0,0,5,2,0,1,8,8,1,3,English,0,2,3,1,1,2,2,0,1,0,none,0.3,drive
33,2,3,07/06/2019,5,9,6,0,1,1,4,4,0,0,5,2,0,1,8,8,1,3,English,0,2,3,1,1,2,2,0,1,0,none,2.4,drive
34,2,4,07/06/2019,5,6,7,0,1,1,4,4,0,0,5,2,0,1,8,8,1,3,English,0,2,3,1,1,2,2,0,1,0,none,4.5,drive
35,2,5,07/06/2019,5,7,7,0,1,1,4,1,0,0,5,2,0,1,8,8,1,3,English,0,2,3,1,1,2,2,0,1,0,none,4.8,drive
36,2,6,08/06/2019,6,7,6,0,1,1,1,4,0,0,5,2,0,1,8,8,1,3,English,0,2,3,1,1,2,2,0,1,0,none,1.8,drive
37,2,7,08/06/2019,6,6,6,0,1,1,4,4,0,0,5,2,0,1,8,8,1,3,English,0,2,3,1,1,2,2,0,1,0,none,0.4,drive
38,2,8,08/06/2019,6,6,6,0,1,1,4,4,0,0,5,2,0,1,8,8,1,3,English,0,2,3,1,1,2,2,0,1,0,none,0.5,drive
39,2,9,08/06/2019,6,6,6,0,1,1,4,1,0,0,5,2,0,1,8,8,1,3,English,0,2,3,1,1,2,2,0,1,0,none,1,drive
40,2,10,08/06/2019,6,6,6,0,2,2,1,4,0,0,5,2,0,1,8,8,1,3,English,0,2,3,1,1,2,2,0,1,0,none,1.8,drive
41,2,11,08/06/2019,6,6,6,0,2,2,4,1,0,0,5,2,0,1,8,8,1,3,English,0,2,3,1,1,2,2,0,1,0,none,1.5,drive
42,2,12,10/06/2019,1,6,6,0,2,2,1,4,0,0,5,2,0,1,8,8,1,3,English,0,2,3,1,1,2,2,0,1,0,none,2.1,drive
43,2,13,10/06/2019,1,6,1,0,2,2,4,1,0,0,5,2,0,1,8,8,1,3,English,0,2,3,1,1,2,2,0,1,0,none,1.3,drive
44,2,14,10/06/2019,1,1,6,0,2,2,1,4,0,0,5,2,0,1,8,8,1,3,English,0,2,3,1,1,2,2,0,1,0,none,2,drive
45,2,15,10/06/2019,1,6,1,0,2,2,4,1,0,0,5,2,0,1,8,8,1,3,English,0,2,3,1,1,2,2,0,1,0,none,1,drive
46,2,16,13/06/2019,4,1,9,0,1,1,1,4,0,0,5,2,0,1,8,8,1,3,English,0,2,3,1,1,2,2,0,1,0,none,1.6,drive
47,2,17,13/06/2019,4,9,6,0,1,1,4,4,0,0,5,2,0,1,8,8,1,3,English,0,2,3,1,1,2,2,0,1,0,none,1,drive
48,2,18,13/06/2019,4,6,1,0,1,1,4,1,0,0,5,2,0,1,8,8,1,3,English,0,2,3,1,1,2,2,0,1,0,none,1.3,drive
49,4,0,10/06/2019,1,1,2,0,1,1,1,2,0,0,5,1,2,0,7,7,1,6,English,0,0,6,2,-9998,2,1,1,1,1,none,4,drive
50,4,1,10/06/2019,1,2,1,0,1,1,2,1,0,0,5,1,2,0,7,7,1,6,English,0,0,6,2,-9998,2,1,1,1,1,none,4,bus
51,4,2,11/06/2019,2,1,2,0,1,1,1,2,0,0,5,1,2,0,7,7,1,6,English,0,0,6,2,-9998,2,1,1,1,1,none,4,drive
52,4,3,11/06/2019,2,2,6,0,1,1,2,4,0,0,5,1,2,0,7,7,1,6,English,0,0,6,2,-9998,2,1,1,1,1,none,3.2,other
53,4,4,11/06/2019,2,6,4,0,1,1,4,3,0,0,5,1,2,0,7,7,1,6,English,0,0,6,2,-9998,2,1,1,1,1,none,13.1,subway
54,4,5,11/06/2019,2,4,1,0,1,1,3,1,0,0,5,1,2,0,7,7,1,6,English,0,0,6,2,-9998,2,1,1,1,1,none,12.1,subway
55,4,6,12/06/2019,3,1,2,0,1,1,1,2,0,0,5,1,2,0,7,7,1,6,English,0,0,6,2,-9998,2,1,1,1,1,none,4,drive
56,4,7,12/06/2019,3,2,1,0,1,1,2,1,0,0,5,1,2,0,7,7,1,6,English,0,0,6,2,-9998,2,1,1,1,1,none,4,bus
57,4,8,13/06/2019,4,1,2,0,1,1,1,2,0,0,5,1,2,0,7,7,1,6,English,0,0,6,2,-9998,2,1,1,1,1,none,4,drive
